DBSCAN(1),DBSCAN(1bis),DBSCAN(2),DBSCAN(2bis),DBSCAN(3)
5,1,5,9,2
9,2,7,12,19
10,5,11,13,25
12,6,12,21,36
16,11,13,28,44
17,12,19,44,48
18,19,21,52,62
31,23,22,54,63
34,25,26,60,88
36,30,40,64,99
52,34,56,65,100
53,36,60,73,103
54,41,66,76,108
61,44,70,83,117
64,48,92,99,120
66,55,98,106,124
72,62,100,109,126
83,70,105,118,127
84,76,110,120,128
87,92,114,121,134
89,99,117,127,144
90,100,123,128,151
91,101,129,129,165
92,108,135,158,184
100,114,139,167,187
108,117,141,174,189
110,126,142,175,195
121,128,149,176,213
127,144,150,185,214
137,151,159,187,215
141,152,160,196,217
146,161,161,207,218
153,169,166,222,232
154,174,169,226,236
157,184,173,242,240
159,187,175,244,242
160,205,177,247,247
166,213,182,252,254
182,216,188,,
184,218,194,,
188,220,197,,
194,228,199,,
197,232,202,,
207,238,204,,
210,246,206,,
212,,207,,
214,,212,,
216,,214,,
220,,216,,
221,,219,,
222,,220,,
240,,221,,
241,,227,,
251,,229,,
,,231,,
,,236,,
,,245,,
