JA-CORR-R,JA-INC-R
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
9.857142857142856940e+01,1.000000000000000000e+02
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
1.000000000000000000e+02,9.857142857142856940e+01
