FR-V,JA-V
2.000000000000000000e+01,2.142857142857142794e+00
3.071428571428571530e+01,1.000000000000000000e+01
0.000000000000000000e+00,2.071428571428571530e+01
2.285714285714285765e+01,4.714285714285714590e+01
0.000000000000000000e+00,1.928571428571428470e+01
0.000000000000000000e+00,3.285714285714285410e+01
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,4.285714285714285587e+00
1.428571428571428603e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00
2.857142857142857206e+00,4.071428571428571530e+01
3.571428571428571619e+00,2.000000000000000000e+01
0.000000000000000000e+00,1.785714285714285765e+01
1.857142857142857295e+01,1.214285714285714235e+01
0.000000000000000000e+00,2.142857142857142794e+00
2.142857142857142794e+00,3.071428571428571530e+01
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01
5.714285714285714590e+01,2.142857142857142794e+00
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,3.428571428571428470e+01
5.142857142857143060e+01,2.857142857142857206e+00
1.071428571428571352e+01,1.000000000000000000e+01
1.428571428571428603e+00,4.928571428571428470e+01
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,7.857142857142856762e+00
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,1.571428571428571352e+01
1.285714285714285765e+01,1.071428571428571352e+01
5.142857142857143060e+01,1.428571428571428603e+00
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,2.428571428571428470e+01
0.000000000000000000e+00,1.500000000000000000e+01
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01
0.000000000000000000e+00,6.428571428571428825e+00
0.000000000000000000e+00,5.000000000000000000e+00
0.000000000000000000e+00,1.428571428571428603e+00
0.000000000000000000e+00,7.142857142857143238e+00
0.000000000000000000e+00,3.714285714285714590e+01
7.142857142857143238e+00,3.000000000000000000e+01
0.000000000000000000e+00,1.285714285714285765e+01
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,7.142857142857143238e+00
0.000000000000000000e+00,3.000000000000000000e+01
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.285714285714286476e+00
7.142857142857143016e-01,0.000000000000000000e+00
7.142857142857143016e-01,4.142857142857143060e+01
5.642857142857143060e+01,9.285714285714286476e+00
0.000000000000000000e+00,2.857142857142857206e+00
0.000000000000000000e+00,7.142857142857143016e-01
2.142857142857142794e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00
7.142857142857143016e-01,2.857142857142857206e+00
2.142857142857142794e+00,5.642857142857143060e+01
0.000000000000000000e+00,7.142857142857143016e-01
2.142857142857142794e+00,4.571428571428571530e+01
0.000000000000000000e+00,1.857142857142857295e+01
0.000000000000000000e+00,2.285714285714285765e+01
0.000000000000000000e+00,8.571428571428571175e+00
2.142857142857142794e+00,4.357142857142856940e+01
4.428571428571428470e+01,1.428571428571428603e+00
2.857142857142857206e+00,1.428571428571428603e+00
9.285714285714286476e+00,1.642857142857142705e+01
7.857142857142856762e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.214285714285714235e+01
7.142857142857143238e+00,2.142857142857142794e+00
4.428571428571428470e+01,7.857142857142856762e+00
0.000000000000000000e+00,2.071428571428571530e+01
1.428571428571428603e+00,2.142857142857142794e+00
7.142857142857143016e-01,3.785714285714285410e+01
5.000000000000000000e+00,2.142857142857142794e+00
3.928571428571428470e+01,1.285714285714285765e+01
1.428571428571428603e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00
9.357142857142856940e+01,4.214285714285714590e+01
0.000000000000000000e+00,7.142857142857143016e-01
0.000000000000000000e+00,7.142857142857143016e-01
7.142857142857143016e-01,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.142857142857143016e-01
4.285714285714285410e+01,7.142857142857143016e-01
0.000000000000000000e+00,2.285714285714285765e+01
7.142857142857143016e-01,3.357142857142856940e+01
0.000000000000000000e+00,2.071428571428571530e+01
1.714285714285714235e+01,1.000000000000000000e+01
7.142857142857143016e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.071428571428571530e+01
7.142857142857143016e-01,0.000000000000000000e+00
1.428571428571428603e+00,3.714285714285714590e+01
5.000000000000000000e+00,5.571428571428571530e+01
1.428571428571428603e+00,4.357142857142856940e+01
7.142857142857143016e-01,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00
7.142857142857143016e-01,3.071428571428571530e+01
1.428571428571428603e+00,3.785714285714285410e+01
7.142857142857143016e-01,0.000000000000000000e+00
1.071428571428571352e+01,9.285714285714286476e+00
0.000000000000000000e+00,3.142857142857142705e+01
