R,V
5.142857142857143060e+01,6.500000000000000000e+01
8.142857142857143060e+01,9.500000000000000000e+01
5.571428571428571530e+01,5.000000000000000000e+01
3.928571428571428470e+01,3.214285714285714590e+01
4.857142857142856940e+01,4.285714285714285410e+01
6.071428571428571530e+01,5.500000000000000000e+01
5.428571428571428470e+01,7.857142857142856940e+01
5.642857142857143060e+01,7.785714285714286120e+01
6.214285714285714590e+01,6.857142857142856940e+01
8.928571428571429180e+01,8.642857142857143060e+01
6.571428571428570820e+01,8.285714285714286120e+01
7.500000000000000000e+01,8.285714285714286120e+01
8.571428571428571175e+00,0.000000000000000000e+00
5.357142857142856940e+01,5.071428571428571530e+01
5.142857142857143060e+01,4.357142857142856940e+01
7.571428571428570820e+01,4.571428571428571530e+01
5.928571428571428470e+01,8.071428571428570820e+01
5.000000000000000000e+01,7.571428571428570820e+01
5.928571428571428470e+01,4.928571428571428470e+01
7.214285714285713880e+01,7.071428571428570820e+01
7.642857142857143060e+01,9.785714285714286120e+01
5.928571428571428470e+01,6.142857142857143060e+01
5.785714285714285410e+01,6.000000000000000000e+01
7.714285714285713880e+01,7.928571428571429180e+01
6.000000000000000000e+01,4.071428571428571530e+01
8.000000000000000000e+01,8.571428571428570820e+01
7.214285714285713880e+01,8.714285714285713880e+01
6.142857142857143060e+01,4.714285714285714590e+01
4.857142857142856940e+01,6.642857142857143060e+01
6.428571428571428825e+00,0.000000000000000000e+00
4.428571428571428470e+01,7.214285714285713880e+01
8.500000000000000000e+01,9.285714285714286120e+01
7.642857142857143060e+01,6.285714285714285410e+01
3.785714285714285410e+01,7.142857142857143060e+01
1.785714285714285765e+01,4.428571428571428470e+01
8.285714285714286120e+01,8.285714285714286120e+01
5.357142857142856940e+01,5.142857142857143060e+01
4.142857142857143060e+01,6.785714285714286120e+01
7.642857142857143060e+01,7.142857142857143060e+01
6.000000000000000000e+01,9.000000000000000000e+01
8.142857142857143060e+01,8.428571428571429180e+01
6.571428571428570820e+01,7.428571428571429180e+01
6.857142857142856940e+01,7.571428571428570820e+01
7.571428571428570820e+01,8.928571428571429180e+01
6.142857142857143060e+01,7.857142857142856940e+01
6.928571428571429180e+01,8.785714285714286120e+01
5.500000000000000000e+01,6.214285714285714590e+01
5.714285714285714590e+01,6.000000000000000000e+01
2.142857142857142705e+01,5.142857142857143060e+01
7.000000000000000000e+01,9.214285714285713880e+01
4.928571428571428470e+01,8.714285714285713880e+01
9.000000000000000000e+01,7.000000000000000000e+01
8.000000000000000000e+01,8.714285714285713880e+01
6.285714285714285410e+01,4.642857142857143060e+01
7.571428571428570820e+01,6.571428571428570820e+01
5.928571428571428470e+01,9.000000000000000000e+01
6.857142857142856940e+01,5.214285714285714590e+01
