correct,incorrect
9.857142857142856940e+01,9.428571428571429180e+01
9.571428571428570820e+01,9.571428571428570820e+01
9.714285714285713880e+01,9.571428571428570820e+01
8.428571428571429180e+01,9.428571428571429180e+01
9.571428571428570820e+01,9.714285714285713880e+01
9.142857142857143060e+01,9.857142857142856940e+01
9.428571428571429180e+01,9.571428571428570820e+01
4.285714285714285587e+00,2.857142857142857206e+00
7.142857142857143238e+00,7.142857142857143238e+00
9.428571428571429180e+01,9.714285714285713880e+01
9.571428571428570820e+01,9.285714285714286120e+01
5.714285714285714413e+00,2.857142857142857206e+00
9.571428571428570820e+01,9.285714285714286120e+01
9.714285714285713880e+01,9.428571428571429180e+01
9.571428571428570820e+01,9.571428571428570820e+01
9.428571428571429180e+01,9.285714285714286120e+01
9.714285714285713880e+01,9.571428571428570820e+01
9.571428571428570820e+01,9.428571428571429180e+01
9.285714285714286120e+01,9.285714285714286120e+01
9.428571428571429180e+01,9.571428571428570820e+01
