JA-CORR-V,JA-INC-V
1.000000000000000000e+02,9.814814814814815236e+01
6.857142857142856940e+01,6.111111111111111427e+01
9.714285714285713880e+01,9.259259259259259522e+01
1.428571428571428648e+01,2.222222222222222143e+01
1.000000000000000000e+02,9.814814814814815236e+01
9.857142857142856940e+01,9.074074074074074758e+01
1.000000000000000000e+02,9.814814814814815236e+01
2.857142857142857206e+00,9.259259259259259522e+00
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
9.857142857142856940e+01,9.629629629629629051e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.571428571428571352e+01,2.592592592592592737e+01
1.000000000000000000e+02,9.814814814814815236e+01
9.857142857142856940e+01,8.888888888888888573e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
0.000000000000000000e+00,1.851851851851851860e+00
5.714285714285714413e+00,1.296296296296296369e+01
1.000000000000000000e+02,9.814814814814815236e+01
2.000000000000000000e+01,3.148148148148148096e+01
9.857142857142856940e+01,8.888888888888888573e+01
1.428571428571428603e+00,3.703703703703703720e+00
1.000000000000000000e+02,9.814814814814815236e+01
9.857142857142856940e+01,9.259259259259259522e+01
9.857142857142856940e+01,9.629629629629629051e+01
1.000000000000000000e+02,9.444444444444444287e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
9.857142857142856940e+01,9.444444444444444287e+01
8.285714285714286120e+01,5.925925925925925952e+01
1.000000000000000000e+02,9.814814814814815236e+01
9.142857142857143060e+01,7.222222222222222854e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
9.857142857142856940e+01,9.444444444444444287e+01
9.714285714285713880e+01,8.518518518518519045e+01
4.285714285714285587e+00,1.481481481481481488e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.814814814814815236e+01
1.000000000000000000e+02,9.444444444444444287e+01
