FR-V,JA-V
1.214285714285714235e+01,2.419354838709677491e+00
6.571428571428570820e+01,6.209677419354838435e+01
3.571428571428571619e+00,4.838709677419354982e+00
2.142857142857142794e+00,1.774193548387096797e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.516129032258064058e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.357142857142856940e+01,9.274193548387096087e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+01,3.225806451612903025e+00
9.428571428571429180e+01,7.741935483870967971e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.435483870967742348e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.214285714285714235e+01,4.838709677419354982e+00
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
0.000000000000000000e+00,8.064516129032257563e-01
1.000000000000000000e+02,9.112903225806451246e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.285714285714286120e+01,5.887096774193548043e+01
9.500000000000000000e+01,9.435483870967742348e+01
1.000000000000000000e+02,9.677419354838710319e+01
9.785714285714286120e+01,9.919354838709676869e+01
1.000000000000000000e+02,9.596774193548387188e+01
9.928571428571429180e+01,9.758064516129032029e+01
9.642857142857143060e+01,9.758064516129032029e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
9.357142857142856940e+01,6.451612903225806406e+01
1.000000000000000000e+02,9.919354838709676869e+01
8.571428571428570820e+01,8.387096774193548754e+01
9.928571428571429180e+01,9.435483870967742348e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
1.571428571428571352e+01,8.870967741935483986e+00
9.142857142857143060e+01,9.032258064516129537e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
0.000000000000000000e+00,2.419354838709677491e+00
