FR-V,JA-V
1.214285714285714235e+01,2.419354838709677491e+00
3.428571428571428470e+01,3.790322580645161565e+01
9.785714285714286120e+01,9.516129032258064058e+01
9.785714285714286120e+01,8.709677419354838435e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.516129032258064058e+01
1.000000000000000000e+02,9.919354838709676869e+01
6.428571428571428825e+00,6.451612903225806051e+00
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
0.000000000000000000e+00,3.225806451612903025e+00
1.000000000000000000e+02,9.919354838709676869e+01
9.000000000000000000e+01,9.677419354838710319e+01
9.428571428571429180e+01,7.419354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.435483870967742348e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.000000000000000000e+01,9.596774193548387188e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.112903225806451246e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.285714285714286120e+01,5.806451612903225623e+01
9.714285714285713880e+01,9.677419354838710319e+01
1.000000000000000000e+02,9.677419354838710319e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.596774193548387188e+01
9.928571428571429180e+01,9.919354838709676869e+01
3.571428571428571619e+00,2.419354838709677491e+00
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
5.000000000000000000e+00,3.467741935483871174e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.285714285714286120e+01,8.306451612903225623e+01
9.928571428571429180e+01,9.435483870967742348e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
1.642857142857142705e+01,9.677419354838709964e+00
9.142857142857143060e+01,9.112903225806451246e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
0.000000000000000000e+00,1.612903225806451513e+00
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
8.571428571428570820e+01,9.193548387096774377e+01
0.000000000000000000e+00,3.225806451612903025e+00
1.428571428571428603e+00,8.064516129032258007e+00
1.000000000000000000e+02,9.919354838709676869e+01
5.714285714285714413e+00,8.064516129032257563e-01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.214285714285714235e+01,4.032258064516129004e+00
9.571428571428570820e+01,7.096774193548387188e+01
9.571428571428570820e+01,5.645161290322580783e+01
1.000000000000000000e+02,9.354838709677419217e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.571428571428570820e+01,7.822580645161289681e+01
9.714285714285713880e+01,9.435483870967742348e+01
7.142857142857143016e-01,8.064516129032258007e+00
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.677419354838710319e+01
9.785714285714286120e+01,9.596774193548387188e+01
1.000000000000000000e+02,8.790322580645161565e+01
1.000000000000000000e+02,9.435483870967742348e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.785714285714286120e+01,9.032258064516129537e+01
9.785714285714286120e+01,8.064516129032257652e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
3.571428571428571619e+00,3.225806451612903025e+00
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
1.000000000000000000e+02,9.919354838709676869e+01
9.714285714285713880e+01,9.758064516129032029e+01
1.000000000000000000e+02,9.919354838709676869e+01
